deep_trasfer,deep_fine_1e_4,deep_base,targets,deep_fine_1e_5,deep_fine_1e_3
1799335.0,851022.94,851022.94,655281.0,880287.9,368282.03
1362779.2,2322444.8,2322444.8,845887.0,2965147.2,2664706.2
1490587.9,1891662.8,1891662.8,2073239.0,1372709.9,2144533.8
1851949.1,673685.7,673685.7,151045.0,1544295.9,1540695.1
1974514.1,260577.48,260577.48,513216.0,1669363.5,1087658.9
1344353.1,2384550.8,2384550.8,3046060.0,652503.8,2842897.5
1866031.2,626221.75,626221.75,147540.0,1142543.1,649804.1
1034735.75,3428123.5,3428123.5,3420362.0,1289488.9,2225209.0
1787739.8,890105.1,890105.1,357034.00000000006,2105693.0,438769.2
1594318.5,1542036.1,1542036.1,814562.0,1694183.0,571554.06
1709544.9,1153662.9,1153662.9,423903.00000000006,1056063.8,-60988.348
1582832.0,1580751.9,1580751.9,1514696.0,1263779.4,687966.94
924964.6,3798109.5,3798109.5,2560974.0,1183203.1,4484093.0
1670932.6,1283806.2,1283806.2,299529.0,1227841.8,1235716.5
1525215.8,1774948.6,1774948.6,310031.00000000006,1312021.0,189883.03
1195732.0,2885482.0,2885482.0,1946403.0,1134654.2,1442532.1
1463445.4,1983147.5,1983147.5,3269626.0,1106792.6,1290389.6
1578540.0,1595217.8,1595217.8,2212610.0,1432953.6,1165376.6
1614543.0,1473869.2,1473869.2,50525.0,1423838.8,1211728.8
2106560.2,-184487.56,-184487.56,347144.00000000006,410229.4,589658.2
1582526.1,1581783.0,1581783.0,631793.0,1488081.0,725131.4
2014221.5,126742.766,126742.766,474111.0,651181.3,1412936.9
1753953.5,1003982.25,1003982.25,1733974.0,1195341.4,1952929.8
1590478.1,1554980.2,1554980.2,1042230.0,1390391.5,977176.94
1384985.8,2247597.5,2247597.5,88251.0,1342652.1,1341816.1
-1933637.1,13433097.0,13433097.0,23232299.0,1387910.2,11909884.0
1816242.2,794036.9,794036.9,100507.0,1832110.1,-75129.01
2113788.2,-208849.64,-208849.64,1895372.0,1746644.5,990002.8
1342160.8,2391940.5,2391940.5,1161878.0,853296.94,1669972.4
-96495.71,7240967.0,7240967.0,7157660.0,1795220.6,6101169.0
1818606.2,786068.8,786068.8,118946.0,744581.75,245286.1
1670191.0,1286306.0,1286306.0,364049.00000000006,1170143.0,775116.8
1161231.5,3001766.5,3001766.5,196029.0,1439589.0,1913405.9
3687127.5,-5511827.5,-5511827.5,173922.0,1231460.8,-2369004.8
956062.5,3693293.5,3693293.5,601776.0,1416783.5,1354325.8
1159287.9,3008317.5,3008317.5,2335267.0,2584966.8,2605095.8
2048761.8,10324.013,10324.013,106385.0,1495196.5,-31972.213
964591.4,3664546.8,3664546.8,931226.0,1242552.6,3217962.5
1915901.4,458133.56,458133.56,311569.00000000006,1853528.5,-795050.06
1352865.4,2355859.8,2355859.8,159327.0,1746313.1,952302.9
1480393.5,1926023.4,1926023.4,1304398.0,1124554.4,1036497.25
1137569.0,3081521.5,3081521.5,2060541.0,1391423.9,4056121.2
1841759.6,708029.75,708029.75,209703.0,1087632.4,536723.8
1851258.6,676013.0,676013.0,1133030.0,1745022.5,578250.06
2137417.5,-288492.34,-288492.34,109766.0,1444760.4,172234.27
1826770.1,758551.9,758551.9,340156.0,1269831.9,368013.28
1455890.1,2008612.5,2008612.5,115083.0,1841471.4,999872.44
1772503.1,941460.5,941460.5,731219.0,939919.6,1173625.9
1788690.2,886901.6,886901.6,530168.0000000001,1980712.8,209722.12
1321264.0,2462373.0,2462373.0,1048933.0,1554340.0,2385751.0
397815.8,5574878.0,5574878.0,920639.0,2395192.8,1731345.0
1774950.1,933212.94,933212.94,295994.0,2011915.4,788769.8
1048832.1,3380611.2,3380611.2,865993.0,2150044.2,692616.4
1264131.2,2654940.5,2654940.5,1945607.0,2712364.2,1724346.5
2210410.2,-534516.3,-534516.3,226824.0,1341016.5,46222.277
2810660.5,-2557674.5,-2557674.5,113516.0,1444768.6,-743611.5
982516.06,3604131.0,3604131.0,228186.0,1867081.5,3173248.8
2238972.0,-630784.1,-630784.1,26390.0,1407116.4,938636.7
-1646412.2,12464998.0,12464998.0,9678138.0,2630466.5,19471760.0
1988590.0,213134.39,213134.39,48228.0,1802430.1,323042.56
1879215.8,581782.6,581782.6,45321.0,1807043.1,-48047.164
1632349.0,1413853.2,1413853.2,164468.0,1780928.9,-692765.06
1650088.9,1354060.9,1354060.9,839107.0,944155.6,1469959.1
2091594.9,-134046.05,-134046.05,36137.0,1321785.9,-485554.4
1883887.5,566036.94,566036.94,200668.0,1085269.6,-287893.1
1801376.9,844140.7,844140.7,345333.00000000006,909517.94,1128700.6
1895648.0,526397.8,526397.8,352300.0,1071452.5,-356608.8
1875404.1,594630.1,594630.1,195720.0,1149527.0,-712047.75
1411720.1,2157488.5,2157488.5,13112.0,3004582.0,1226054.2
1816542.5,793024.56,793024.56,748677.0,1002616.56,-908370.2
345734.78,5750418.0,5750418.0,276760.00000000006,1771122.5,4324948.0
1927964.5,417474.06,417474.06,318586.0,1783625.9,-121622.04
1068674.9,3313730.8,3313730.8,3831858.0,1327981.6,3256550.5
1143063.2,3063003.2,3063003.2,281425.0,2688221.5,2831655.2
1319273.0,2469084.2,2469084.2,1001813.0,927511.1,251832.78
1462996.1,1984661.2,1984661.2,472573.00000000006,987615.1,1524674.8
1723879.9,1105346.4,1105346.4,198283.0,190850.56,-192213.03
1673925.6,1273718.4,1273718.4,458499.00000000006,929350.7,146634.27
1586991.5,1566732.4,1566732.4,616781.0,827083.06,789046.94
1478758.4,1931534.8,1931534.8,59554.0,1538765.4,3329744.8
2312744.0,-879434.44,-879434.44,21282.0,578334.25,-933823.75
1680574.5,1251308.0,1251308.0,352661.00000000006,1253737.9,641686.2
2042819.0,30354.35,30354.35,566673.0,1402665.8,36885.84
1098903.9,3211843.2,3211843.2,37789.00000000001,711528.1,316210.34
731912.2,4448797.5,4448797.5,3443902.0,977093.7,3923793.8
1904047.4,498087.25,498087.25,248106.0,1338235.8,1150178.8
1725678.8,1099282.9,1099282.9,1878581.0,939397.6,451970.2
904987.4,3865443.5,3865443.5,105654.0,1481291.5,4683075.0
-3398336.8,18369902.0,18369902.0,6296393.0,3352286.8,13954687.0
1336009.8,2412672.0,2412672.0,679172.0,1547925.5,-727573.56
2191019.5,-469159.0,-469159.0,185398.0,1888507.5,1005555.2
1324101.1,2452810.2,2452810.2,156031.0,797506.5,1392030.0
2219780.5,-566099.56,-566099.56,265711.0,751289.4,374165.66
1939940.9,377107.62,377107.62,285254.00000000006,1707812.9,-395091.03
1913963.1,464666.12,464666.12,19169.0,995216.06,-301711.47
1599626.8,1524144.4,1524144.4,500664.00000000006,1299897.5,1518419.0
1579437.5,1592193.0,1592193.0,648597.0,1197151.1,579463.4
934312.94,3766600.8,3766600.8,99735.0,1650093.4,3001480.2
2081372.9,-99592.555,-99592.555,603814.0,912222.44,-455993.75
1703925.5,1172603.0,1172603.0,401662.00000000006,2184850.5,429299.34
2315329.5,-888148.6,-888148.6,705511.0,691667.3,855386.56
1510923.1,1823122.4,1823122.4,1473350.0,2210508.0,1684468.6
1700676.8,1183553.1,1183553.1,301409.0,1149880.0,887712.0
653341.8,4713621.0,4713621.0,1545884.0,2244197.2,2711324.5
1617432.8,1464129.1,1464129.1,194229.0,1195887.4,854907.8
1707128.9,1161806.2,1161806.2,474263.0,1805387.4,1107289.1
2118903.5,-226090.75,-226090.75,284212.0,1523980.2,384290.75
1567000.4,1634112.8,1634112.8,680524.0,1073176.1,1253633.6
1916439.4,456320.0,456320.0,139661.0,2065410.1,125217.59
1470720.1,1958627.6,1958627.6,2962616.9999999995,2255764.5,2300284.8
1011094.75,3507806.2,3507806.2,5576800.0,1181267.2,3308183.2
2061058.5,-31122.29,-31122.29,581894.0000000001,409816.16,-329993.94
1524110.5,1778674.0,1778674.0,61274.0,1042059.6,2306490.5
347793.78,5743478.5,5743478.5,644742.0,1065081.1,4420932.5
2057419.0,-18855.621,-18855.621,1093401.0,1163883.2,955180.25
1713585.4,1140044.2,1140044.2,173194.0,930317.3,373001.78
