deep_trasfer,deep_fine,deep_base,targets
1691951.1,568561.9,568561.9,655281.0
1059024.5,2368572.8,2368572.8,845887.0
1517325.6,1065188.2,1065188.2,2073239.0
1891892.6,-61.091457,-61.091457,151045.0
2258155.2,-1041693.94,-1041693.94,513216.0
1139503.0,2139696.2,2139696.2,3046060.0
1953593.9,-175536.58,-175536.58,147540.0
858554.44,2938699.5,2938699.5,3420362.0
1738932.2,434950.1,434950.1,357034.00000000006
1396836.0,1407854.6,1407854.6,814562.0
1643599.6,706071.0,706071.0,423903.00000000006
1566321.0,925847.8,925847.8,1514696.0
656072.6,3514547.5,3514547.5,2560974.0
1776586.0,327864.88,327864.88,299529.0
1374158.4,1472348.6,1472348.6,310031.00000000006
1299905.0,1683521.1,1683521.1,1946403.0
1337945.8,1575335.5,1575335.5,3269626.0
1472578.1,1192447.9,1192447.9,2212610.0
1740559.2,430322.9,430322.9,50525.0
2236532.8,-980200.6,-980200.6,347144.00000000006
1604958.8,815964.0,815964.0,631793.0
2246369.5,-1008175.25,-1008175.25,474111.0
1952979.0,-173787.84,-173787.84,1733974.0
1593734.9,847884.0,847884.0,1042230.0
1382738.6,1447946.5,1447946.5,88251.0
-2488424.2,12457337.0,12457337.0,23232299.0
1806530.4,242704.42,242704.42,100506.99999999999
2129682.8,-676324.4,-676324.4,1895372.0
1149354.9,2111678.0,2111678.0,1161878.0
-647549.5,7221982.0,7221982.0,7157660.0
1909473.0,-50059.414,-50059.414,118946.0
1769080.0,349211.38,349211.38,364049.00000000006
1102317.9,2245449.2,2245449.2,196029.0
3599195.0,-4855542.0,-4855542.0,173922.0
789070.2,3136309.2,3136309.2,601776.0
970900.06,2619194.2,2619194.2,2335267.0
2216981.5,-924597.75,-924597.75,106385.0
1017797.9,2485819.2,2485819.2,931226.0
1830738.9,173856.78,173856.78,311569.00000000006
1460314.2,1227325.5,1227325.5,159327.0
1464792.6,1214589.1,1214589.1,1304398.0
635095.8,3574204.5,3574204.5,2060541.0
1758678.8,378792.1,378792.1,209703.0
1867437.1,69489.0,69489.0,1133030.0
2261359.2,-1050805.6,-1050805.6,109766.0
1848926.4,122132.336,122132.336,340156.0
1387083.5,1435589.9,1435589.9,115083.0
1600136.4,829678.6,829678.6,731219.0
1553702.9,961732.9,961732.9,530168.0000000001
964423.9,2637612.2,2637612.2,1048933.0
273333.6,4603037.5,4603037.5,920639.0
1867798.9,68460.07,68460.07,295994.0
850853.1,2960601.8,2960601.8,865993.0
969891.9,2622061.8,2622061.8,1945607.0
2322327.8,-1224196.8,-1224196.8,226824.0
